"","comicName","comicSummary","comicGrade"
"367","HelloDeath![헬로데스]","세상엔신들이너무많아","9.84"
"368","꿈무덤","꿈 속의 이야기","9.84"
"369","날개의기억","학원 로맨스 드라마","9.80"
"370","개남","한명쯤 키우고 싶은","9.92"
"371","흔하지않은로맨스유형","청춘남녀 4컷만화","9.91"
"372","티레시아스","판타지 순정만화","9.86"
"373","고냥고냥","취준생 고냥이","9.91"
"374","빌리다이어트","개고생 다이어트","9.82"
"375","눈깔소녀","어느날 갑자기","9.87"
"376","니하오복고","요리하는고양이 복고","9.89"
"377","여왕의계절","시대극 판타지 웹툰","9.87"
"378","스윗칵테일","Self Made","9.38"
"379","재미개발","IT개발자들 이야기","9.80"
"380","백수세끼","백수의 삼시세끼","9.54"
"381","나비이야기","식물이 무서워","9.90"
"382","개구리공주","학원판타지","9.89"
"383","파도의색깔","판타지 성장 만화","9.90"
"384","윤덩까툰시즌2","영국_일상_로맨스","9.71"
"385","DOOR","귀여운 다크판타지","9.86"
"386","에리스","남을 속여야 이긴다","9.37"
"387","용사·마왕·우주인","낙제 용사 이야기","9.90"
"388","결혼교과시간","학교에서배우는결혼","9.82"
"389","반연(絆緣)","토요일 저녁에만나요","9.90"
"390","회사원채대리","회사원 만화","9.84"
"391","어글리피플즈","못생긴남자의 이야기","8.88"
"392","나주금입니다(너에게만보이는)","유령의 상냥한 위로","9.88"
"393","ㅎㅋ고모리","은둔형 외톨이인 모리의 성장일기","9.30"
"394","빅건맨","능력자 살인마","9.65"
"395","Jun과나","실화에서 시작된 예대속 색있는 사람들의 색있는 이야기.","9.89"
"396","림딩동","캠퍼스 농구만화","9.74"
"397","츤데레","남정네 넷의 츤츤","9.87"
"398","뿌리네이야기","매일 가족 명랑 만화","9.77"
"399","스타체이서","친구에게","9.87"
"400","사람사이","청춘들의 현실로맨스","9.55"
"401","누나한입만화","4컷 일상 먹툰","9.90"
"402","공대생툰","공대생의 일상","9.78"
"403","환상여행","단편 모음집","9.90"
"404","용애어부가","용과 어부 사랑노래","9.93"
"405","디언더사이즈드(THEUNDERSIZED)","고등학교농구부이야기","9.53"
"406","애쉬그레이","판타지","9.90"
"407","루텔","력家네","9.90"
"408","뫼비우스의소설","오각관계 드라마","9.78"
"409","숲","사연을 그리는 만화","9.93"
"410","내열정은최고조!","한남자의 청춘속 열정적인 일상 에피소드","9.57"
"411","마이툰","두딸키우는 아재일상","9.67"
"412","사인검","액션활극 동양판타지","9.84"
"413","내매력에퐁당","내 매력에 퐁당!","9.68"
"414","우당탕탕학교가자!","본격! 여고생툰","9.75"
"415","텃밭부사건일지","명랑쾌활 살인추리극","9.87"
"416","헬로사이공","따뜻한 이야기들","9.88"
"417","뱀파이어클럽의혈투","뱀파이어클럽의 혈투","8.82"
"418","날것","해묵은 그림 일기장","8.41"
"419","에밀리이야기","어딘지 학교가 익숙하지 않은 에밀리의 학교적응 이야기","9.78"
"420","괜찮아,고3이야","너와나의 리얼고3툰","9.91"
"421","불러줘내이름만","캠퍼스 로맨스","9.88"
"422","탑코너","고교 축구드라마","8.82"
"423","술타는청춘","청춘들의 개그 일상","9.70"
"424","갓도령스","꽃도령아이돌 로맨스","9.89"
"425","캐세랑세라","디스 이즈 러브!","9.92"
"426","식빵고양이파운드캣","식빵을 닮은 고양이","9.92"
"427","후덜덜덜남극전자","즐거운 회사생활","9.84"
"428","주근깨가쵸","의도치 않은 모험","9.72"
"429","웃지않는여자","뒤엉킨 과거","9.80"
"430","B와당신","흡혈귀 여자친구","9.62"
"431","우리집에최애캐!","최애캐와 동거하자!","9.76"
"432","이과지옥","이과 발암만화","9.78"
"433","베이퍼정키스","퓨처 느와르","9.31"
"434","상실의계절","소프트 BL","9.72"
"435","라스오브이블","2차 세계대전 SF","9.57"
"436","압락사스","살인자 vs 사이비","9.69"
"437","도도도","도도의 이야기","9.81"
"438","살문(殺門)","살인과 관상","9.68"
"439","우리에게내일은","SF판타지 액션활극","9.54"
"440","빌린몸","두근두근 순정만화","9.83"
"441","신선비","한 뱀신랑의 이야기","9.89"
"442","달무리의밤","고려시대 사랑이야기","9.78"
"443","왕립루브리카종합학원","판타지학원물","9.91"
"444","울트라바이올렛","공대생vs뱀파이어","9.83"
"445","광고감독의발암일기","광고감독의 웃픈일상","9.73"
"446","숲속의성","허기, 혹은 사랑","9.86"
"447","페카텀","신과 사제의 이야기","9.76"
"448","마녀가잠든사이에","마녀와 잔혹동화","9.86"
"449","비차의캘리툰,첫단추","스무살, 첫 단추.","9.86"
"450","하필너야?!","그녀와 그 고양이","9.76"
"451","노바","코지 미스테리 로판","9.89"
"452","은하!","정 식 연 재","9.88"
"453","전지적귀신시점","귀신만화.","9.89"
"454","플래닛자이언","월드와이드 SF극화","9.39"
"455","그래도같이살자","고양이 일상툰","9.88"
"456","십장르","너 장르가 뭐야?","8.36"
"457","슬기는슬기를싫어해!","두소녀의 성장드라마","9.53"
"458","오늘은꼭고백할거야!","두 남자의 고백공략","9.92"
"459","사귀자","웹툰작가와 귀신 팬","9.87"
"460","아더의왕국","왕국의 주인은?","9.89"
"461","(구)여우야여우야","여우와 친구들","9.76"
"462","1인칭외국인시점","프랑스 관찰일기","9.89"
"463","컬러풀아이덴티티","패션디자인 학원물","9.64"
"464","젤리빈하우스","신비의 보석 젤리빈,그리고 한 명의 마법사.","9.81"
"465","투애니스(20's)","레스토랑 드라마","9.53"
"466","잉여특공대","고딩-슈퍼히어로맨스","9.91"
"467","슈퍼캣","거대고양이 등장!!","9.61"
"468","킬링타임","과거를 죽여라","9.83"
"469","과한가족","조금 과한 그들","9.92"
"470","성장통소나타","예체능 로맨스","9.89"
"471","라라의조그만작업실","미니어쳐만드는만화","9.79"
"472","모브","2097년 드라마","9.87"
"473","이오타","케이 아이가 만났다","9.24"
"474","너에게나를던진다","아재&고딩의 성장기","9.53"
"475","초인의시대","지구를 지키는 초인","9.61"
"476","악마의레시피","악마와계약한파티시에","9.67"
"477","대작으로가는길","사신소년","9.87"
"478","물레","대학 공감청춘 만화","9.50"
"479","이웃집유부녀","유부녀의 일상 기록","9.90"
"480","오늘의하루","친구들이야기","9.88"
"481","개인적인택시","음악이 흐르는 택시","9.93"
"482","먼데이블루스","프리랜서와 직장인.","8.76"
"483","카이코","국제 연애 로맨스","9.93"
"484","결혼후,보통의삶","묘한 중독 짱매의 매일매일","9.91"
"485","지금만큼은","시공간초월로맨스","9.92"
"486","아싸가알아버렸다","아싸탈출 도전기","9.48"
"487","판타지여동생!","게임판타지","9.50"
"488","스물다섯,어디로가야하죠?","이젠 심지어 스물 여섯","9.87"
"489","오무라이스프로젝트","다함께 오무라이스!","9.83"
"490","코스믹코믹스","우주 만화","9.89"
"491","시선스틸러","관심받고싶은이야기","9.63"
"492","in",".","9.23"
"493","엑스텐","매주 토요일 연재","9.86"
"494","미르신화전기","인류의 파멸을 막아라","9.86"
"495","해바라기하나","헤어디자이너 해꽃님","9.87"
"496","남동생과누나","남매 일상","9.84"
"497","미스터신데렐라","신데렐라가 남자라면","9.89"
"498","그세계의공주님","모험판타지","9.87"
"499","Bugs","이 곳은 모든 것이 빛으로 이뤄진 공간","9.66"
"500","OO마트에놀러오세요.","마트 직원 하나씨","9.79"
"501","악취","악의 냄새","9.77"
"502","시월이툰","반려견 개그+공감툰","9.93"
"503","자유의경계","감옥스릴러","9.86"
"504","도사님도사님","사주 드라마","9.53"
"505","달콩달콩일상","바카와 호두","9.83"
